,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
322,119.0,1,35.0,116.0,38.0,0,86.0,109.0,11.0,46.0,0,7.0,0
323,121.0,1,31.0,113.0,34.0,0,86.0,116.0,13.0,48.0,0,8.0,0
324,115.0,1,20.0,107.0,35.0,0,72.0,101.0,16.0,44.0,1,3.0,0
325,121.0,1,27.0,115.0,37.0,0,78.0,93.0,12.0,49.0,1,4.0,0
326,125.0,1,33.0,117.0,38.0,0,103.0,103.0,14.0,51.0,0,8.0,0
327,127.0,1,57.0,118.0,47.0,0,94.0,101.0,22.0,53.0,0,12.0,0
328,121.0,1,33.0,114.0,38.0,0,91.0,118.0,12.0,49.0,0,8.0,0
329,124.0,1,36.0,117.0,35.0,0,72.0,92.0,11.0,47.0,0,8.0,0
330,126.0,1,31.0,117.0,35.0,0,86.0,86.0,11.0,47.0,0,8.0,0
331,119.0,1,36.0,111.0,37.0,0,85.0,102.0,12.0,46.0,0,4.0,0
332,125.0,1,27.0,122.0,42.0,0,92.0,75.0,12.0,52.0,0,5.0,0
333,116.0,0,23.0,107.0,37.0,1,83.0,92.0,14.0,45.0,0,4.0,0
334,121.0,1,34.0,115.0,36.0,0,86.0,86.0,13.0,48.0,0,4.0,0
335,107.0,0,18.0,105.0,35.0,0,82.0,99.0,12.0,43.0,1,4.0,0
336,103.0,1,16.0,102.0,35.0,0,76.0,95.0,12.0,42.0,1,4.0,0
337,121.0,1,28.0,117.0,33.0,0,89.0,104.0,11.0,45.0,0,5.0,0
338,104.0,0,27.0,101.0,32.0,0,82.0,130.0,11.0,43.0,0,6.0,0
339,107.0,0,32.0,107.0,33.0,0,33.0,113.0,13.0,44.0,0,6.0,0
340,109.0,1,31.0,111.0,40.0,1,85.0,108.0,13.0,41.0,0,9.0,0
341,109.0,0,16.0,105.0,36.0,0,80.0,99.0,10.0,42.0,0,7.0,0
342,103.0,0,18.0,104.0,36.0,0,83.0,87.0,11.0,44.0,0,11.0,0
343,115.0,0,27.0,111.0,38.0,0,85.0,112.0,11.0,47.0,0,8.0,0
344,108.0,0,27.0,101.0,36.0,0,85.0,78.0,11.0,44.0,0,10.0,0
345,107.0,0,30.0,106.0,38.0,0,87.0,82.0,10.0,44.0,0,11.0,0
346,107.0,0,18.0,103.0,35.0,0,93.0,79.0,12.0,41.0,0,10.0,0
347,105.0,0,27.0,103.0,36.0,0,82.0,93.0,10.0,40.0,0,5.0,0
348,87.0,0,26.0,100.0,30.0,0,81.0,82.0,11.0,39.0,0,2.0,0
349,87.0,0,26.0,100.0,30.0,0,85.0,81.0,11.0,40.0,0,3.0,0
350,115.0,0,18.0,114.0,36.0,0,88.0,100.0,13.0,43.0,1,8.0,0
351,114.0,0,21.0,122.0,39.0,0,98.0,95.0,14.0,46.0,1,10.0,0
352,114.0,0,20.0,112.0,38.0,0,94.0,98.0,14.0,45.0,1,8.0,0
353,128.0,0,34.0,114.0,42.0,0,85.0,130.0,19.0,54.0,1,3.5,0
354,122.0,1,22.0,113.0,36.0,0,76.0,108.0,14.0,46.0,1,3.0,0
355,115.0,1,23.0,107.0,38.0,0,92.0,108.0,12.0,47.0,1,3.0,0
356,113.0,1,10.0,105.0,35.0,0,83.0,99.0,14.0,44.0,1,3.0,0
357,112.0,1,35.0,104.0,33.0,0,87.0,104.0,13.0,44.0,0,6.0,0
358,117.0,1,49.0,111.0,38.0,0,96.0,123.0,15.0,46.0,0,15.0,0
